COLORTIZER
gridIndex	0
gridExtents	16	16
IDMax	15
dockID	0
dockRotation	0
slider1	0.6
toggle1	1
toggle2	1
toggle3	1
0	15	0	0
1	15	1	0
3	15	2	0
-1	15	3	0
-1	15	4	0
6	15	5	270
-1	15	6	0
0	15	7	0
-1	15	8	0
3	15	9	0
-1	15	10	0
6	15	11	270
3	15	12	0
6	15	13	90
1	15	14	0
4	15	15	0
0	14	0	0
1	14	1	0
6	14	2	180
4	14	3	0
-1	14	4	0
6	14	5	0
1	14	6	0
3	14	7	0
2	14	8	0
4	14	9	0
6	14	10	270
6	14	11	0
1	14	12	0
6	14	13	270
6	14	14	270
6	14	15	180
0	13	0	0
-1	13	1	0
1	13	2	0
-1	13	3	0
-1	13	4	0
6	13	5	0
-1	13	6	0
6	13	7	180
0	13	8	0
3	13	9	0
6	13	10	180
-1	13	11	0
0	13	12	0
6	13	13	90
1	13	14	0
0	13	15	0
-1	12	0	0
6	12	1	270
3	12	2	0
1	12	3	0
1	12	4	0
6	12	5	0
-1	12	6	0
1	12	7	0
0	12	8	0
-1	12	9	0
6	12	10	90
0	12	11	0
-1	12	12	0
6	12	13	270
1	12	14	0
0	12	15	0
6	11	0	0
6	11	1	180
6	11	2	270
6	11	3	180
6	11	4	0
6	11	5	90
6	11	6	90
6	11	7	270
6	11	8	270
6	11	9	180
6	11	10	0
6	11	11	0
6	11	12	90
6	11	13	270
6	11	14	270
6	11	15	0
0	10	0	0
1	10	1	0
0	10	2	0
0	10	3	0
6	10	4	0
1	10	5	0
-1	10	6	0
6	10	7	0
4	10	8	0
0	10	9	0
6	10	10	180
-1	10	11	0
0	10	12	0
6	10	13	180
1	10	14	0
0	10	15	0
-1	9	0	0
3	9	1	0
-1	9	2	0
-1	9	3	0
6	9	4	90
-1	9	5	0
0	9	6	0
6	9	7	180
6	9	8	90
-1	9	9	0
6	9	10	270
0	9	11	0
-1	9	12	0
6	9	13	0
-1	9	14	0
4	9	15	0
0	8	0	0
6	8	1	90
1	8	2	0
0	8	3	0
6	8	4	180
3	8	5	0
0	8	6	0
3	8	7	0
6	8	8	90
0	8	9	0
6	8	10	180
-1	8	11	0
-1	8	12	0
6	8	13	270
0	8	14	0
0	8	15	0
6	7	0	270
-1	7	1	0
3	7	2	0
-1	7	3	0
6	7	4	270
6	7	5	180
6	7	6	270
6	7	7	270
6	7	8	180
6	7	9	180
6	7	10	180
3	7	11	0
0	7	12	0
6	7	13	0
-1	7	14	0
6	7	15	0
1	6	0	0
4	6	1	0
6	6	2	180
4	6	3	0
6	6	4	270
0	6	5	0
0	6	6	0
-1	6	7	0
0	6	8	0
-1	6	9	90
6	6	10	270
6	6	11	270
6	6	12	90
6	6	13	270
0	6	14	0
3	6	15	0
-1	5	0	0
0	5	1	0
-1	5	2	0
0	5	3	0
6	5	4	0
-1	5	5	0
3	5	6	0
-1	5	7	0
4	5	8	0
6	5	9	270
6	5	10	0
-1	5	11	0
-1	5	12	0
6	5	13	180
2	5	14	0
0	5	15	0
6	4	0	90
6	4	1	90
6	4	2	270
6	4	3	0
6	4	4	0
6	4	5	90
6	4	6	0
6	4	7	90
6	4	8	180
6	4	9	180
6	4	10	90
6	4	11	180
6	4	12	270
6	4	13	90
6	4	14	90
6	4	15	0
1	3	0	0
1	3	1	0
-1	3	2	0
0	3	3	0
6	3	4	180
4	3	5	0
1	3	6	0
-1	3	7	0
-1	3	8	0
-1	3	9	0
6	3	10	0
1	3	11	0
-1	3	12	0
6	3	13	0
0	3	14	0
-1	3	15	0
-1	2	0	0
0	2	1	0
-1	2	2	0
-1	2	3	0
6	2	4	180
-1	2	5	0
2	2	6	0
-1	2	7	0
1	2	8	0
5	2	9	0
6	2	10	90
-1	2	11	0
1	2	12	0
6	2	13	180
1	2	14	0
-1	2	15	0
6	1	0	180
5	1	1	0
-1	1	2	0
3	1	3	0
6	1	4	0
-1	1	5	0
0	1	6	0
0	1	7	0
-1	1	8	0
0	1	9	0
6	1	10	90
1	1	11	0
-1	1	12	0
6	1	13	0
-1	1	14	0
-1	1	15	0
5	0	0	0
-1	0	1	0
-1	0	2	0
0	0	3	0
6	0	4	90
4	0	5	0
-1	0	6	0
3	0	7	0
1	0	8	0
-1	0	9	0
6	0	10	270
4	0	11	0
-1	0	12	0
6	0	13	90
-1	0	14	0
-1	0	15	0
4	2	0	0	0	28
972216128	972216128	0
